동별(2),계 (명),한국인 (명),등록외국인 (명)
동별(2),소계,소계,소계
소계,9619861,9366283,253578
종로구,150204,139189,11015
중구,131800,121475,10325
용산구,219451,206061,13390
성동구,283853,276597,7256
광진구,350005,334159,15846
동대문구,360066,341345,18721
중랑구,386782,381126,5656
성북구,436666,424194,12472
강북구,290252,285054,5198
도봉구,308060,305400,2660
노원구,500045,495183,4862
은평구,468976,464738,4238
서대문구,320010,305369,14641
마포구,373980,363029,10951
양천구,436595,433307,3288
강서구,565133,559335,5798
구로구,413099,390169,22930
금천구,240153,226672,13481
영등포구,397771,375040,22731
동작구,389541,378324,11217
관악구,497632,481145,16487
서초구,411959,407404,4555
강남구,562136,556570,5566
송파구,658768,652752,6016
강동구,466924,462646,4278
